Id,NO2,PM10,PM25,CO,SO2,OZONE,AQI,category,pollutant,concentration,updatedAt,countryCode,placeName,postalCode,state,city,division,lat,lng,updateTs
7523015,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Ballyboughal,A41,,,,53.5195,-6.2667,1566945738
7523016,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Garristown,A42,,,,53.5661,-6.3856,1566945738
7523017,6.45,16.77,11.94,0.69,1.24,36.21,54,Moderate,PM2.5,14,2020-03-22T20:36:52.000Z,IE,Oldtown,A45,,,,53.5253,-6.3156,1566945738
7523018,3.47,8.22,4.87,0.69,0.6,31.39,26,Good,O3,26,2020-03-22T20:36:52.000Z,IE,Greystones,A63,,,,53.1408,-6.0631,1566945738
7523019,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Wicklow,A67,,,,52.975,-6.0494,1566945738
7523020,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Castleblayney,A75,,,,54.1167,-6.7333,1566945738
7523021,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Carrickmacross,A81,,,,53.9728,-6.7189,1566945738
7523022,3.47,19.21,4.87,0.69,0.6,36.21,29,Good,PM10,26,2020-03-22T20:36:52.000Z,IE,Kells,A82,,,,53.7264,-6.8792,1566945738
7523023,9.33,20.96,4.87,0.69,0.6,36.21,28,Good,PM10,29,2020-03-22T20:36:52.000Z,IE,Enfield,A83,,,,53.4142,-6.8323,1566945738
7523024,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Ashbourne,A84,,,,53.5116,-6.3982,1566945738
7523025,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Dunshaughlin,A85,,,,53.5125,-6.54,1566945738
7523026,9.33,19.96,4.87,0.69,0.6,36.21,26,Good,PM10,29,2020-03-22T20:36:52.000Z,IE,Dunboyne,A86,,,,53.4,-6.4667,1566945738
7523027,3.47,18.21,4.87,0.69,0.6,36.21,25,Good,PM10,26,2020-03-22T20:36:52.000Z,IE,Dundalk,A91,,,,54,-6.4167,1566945738
7523028,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Drogheda,A92,,,,53.7189,-6.3478,1566945738
7523029,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Blackrock,A94,,,,53.3015,-6.1778,1566945738
7523030,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Dun Laoghaire,A96,,,,53.294,-6.1359,1566945738
7523031,3.47,8.22,4.87,0.69,0.6,30.73,27,Good,O3,24,2020-03-22T20:36:52.000Z,IE,Bray,A98,,,,53.2028,-6.0983,1566945738
7523032,3.47,18.21,4.87,0.69,0.6,36.21,26,Good,PM10,26,2020-03-22T20:36:52.000Z,IE,Trim,C15,,,,53.555,-6.7917,1566945738
7523033,3.47,8.22,4.87,0.69,0.6,36.21,,,,,2020-03-22T20:36:52.000Z,IE,Dublin 1,D01,,,,53.354,-6.2545,1566945738
